feature,correlation,abs_correlation
midpx_return_20min,0.09975370343063315,0.09975370343063315
midpx_return_10min,0.09896406801675989,0.09896406801675989
nAddBuy,0.09608579731905717,0.09608579731905717
addSellTurnover,0.09480719717081479,0.09480719717081479
tradeSellTurnover,0.0919996432051876,0.0919996432051876
nTradeSell,0.09025389858053845,0.09025389858053845
nAddSell,0.08977221152440762,0.08977221152440762
trade_frequency_total,0.0881214487742721,0.0881214487742721
addBuyTurnover,0.08706604427893772,0.08706604427893772
midpx_rolling_std_10,0.08268772774923541,0.08268772774923541
intraday_volatility,0.0818284099202143,0.0818284099202143
nCxlSell,0.08163834629917117,0.08163834629917117
midpx_rolling_std_5,0.07886066155463944,0.07886066155463944
tradeBuyTurnover,0.07881021800277094,0.07881021800277094
nTradeBuy,0.07636758475041378,0.07636758475041378
cxlSellTurnover,0.07178798308104593,0.07178798308104593
midpx_return_5min,0.06943008016480007,0.06943008016480007
midpx_ma_ratio_20,0.06932070528096451,0.06932070528096451
spread_rolling_mean_10,0.0644654352966544,0.0644654352966544
tradeSellQty,0.06044521084933261,0.06044521084933261
nCxlBuy,0.05860570618614228,0.05860570618614228
addSellQty,0.05846541062801308,0.05846541062801308
trade_volume_rate,0.05842174279164005,0.05842174279164005
addBuyQty,0.05477865685100435,0.05477865685100435
cxlBuyTurnover,0.053205613964986194,0.053205613964986194
midpx_ma_ratio_10,0.052115907365721505,0.052115907365721505
spread_rolling_mean_5,0.050480310075889226,0.050480310075889226
tradeBuyQty,0.04642687373306798,0.04642687373306798
cxlSellQty,0.044414688901785605,0.044414688901785605
midpx_ma_ratio_5,0.034473494651513184,0.034473494651513184
sellVwad,-0.0338468970970371,0.0338468970970371
ask_slope,0.030833906738394673,0.030833906738394673
spread,0.030772725832115145,0.030772725832115145
midpx_return_1min,0.029178402879106728,0.029178402879106728
price_gap_relative,0.029178402879106728,0.029178402879106728
bid_slope,0.02782122129381368,0.02782122129381368
cxlBuyQty,0.023217177399390963,0.023217177399390963
addSellLow,-0.02114710687420323,0.02114710687420323
buyVwad,-0.01941802184054616,0.01941802184054616
addBuyLow,-0.018857746744900757,0.018857746744900757
atr10_19,-0.016230855005164854,0.016230855005164854
spread_relative,0.016070489627277175,0.016070489627277175
atr0_4,-0.01456746955554428,0.01456746955554428
atr5_9,-0.013751862401971017,0.013751862401971017
midpx_log_return_1min,0.013570362642518697,0.013570362642518697
asize10_19,-0.013241870183191479,0.013241870183191479
avg_trade_size_buy,0.012723444818540328,0.012723444818540328
ob_imbalance_1,-0.0125997496970593,0.0125997496970593
asize0,-0.012267539229714965,0.012267539229714965
btr0_4,-0.01225890131771441,0.01225890131771441
add_order_imbalance,0.012120546465855737,0.012120546465855737
trade_volume_imbalance,0.011777775501572585,0.011777775501572585
asize0_4,-0.011410248324881345,0.011410248324881345
price_gap,0.010824198743126524,0.010824198743126524
total_depth_1_5,-0.010587390643296552,0.010587390643296552
addBuyHigh,0.010281330872358907,0.010281330872358907
asize5_9,-0.009729155824382378,0.009729155824382378
bsize5_9,-0.009388844579228712,0.009388844579228712
bsize10_19,-0.009297354757116592,0.009297354757116592
bsize0_4,-0.009195626818077254,0.009195626818077254
ask19,0.008868139482753794,0.008868139482753794
ask9,0.008809885574936017,0.008809885574936017
ask4,0.00878378098613851,0.00878378098613851
midpx_rolling_mean_5,0.00874755586183977,0.00874755586183977
ask0,0.00874563786880644,0.00874563786880644
midpx,0.008734140506125828,0.008734140506125828
bid0,0.008722637459489712,0.008722637459489712
midpx_rolling_mean_10,0.008720132258343711,0.008720132258343711
bid4,0.00869723770050484,0.00869723770050484
bid9,0.008692686654904693,0.008692686654904693
btr5_9,-0.008680954194968558,0.008680954194968558
midpx_rolling_mean_20,0.008650827148882854,0.008650827148882854
ob_imbalance_1_5,-0.008413139813309963,0.008413139813309963
money_imbalance_1_5,-0.00840996760361756,0.00840996760361756
bid19,0.00814659808772888,0.00814659808772888
high,0.007900181941803273,0.007900181941803273
buy_pressure,0.007788493513822445,0.007788493513822445
open,0.007753697167086193,0.007753697167086193
lastpx,0.007737631266606047,0.007737631266606047
low,0.007529524855214699,0.007529524855214699
tradeBuyHigh,0.007510073770636024,0.007510073770636024
tradeSellHigh,0.007368456562893606,0.007368456562893606
tradeBuyLow,0.007145939079534667,0.007145939079534667
trade_count_imbalance,0.007131313625228997,0.007131313625228997
cxlBuyHigh,0.007079825089842382,0.007079825089842382
tradeSellLow,0.007004229731563094,0.007004229731563094
cancel_order_imbalance,-0.006827293413617479,0.006827293413617479
cxlSellLow,0.006783918597510937,0.006783918597510937
midpx_sma_5,0.006233000511169786,0.006233000511169786
cxlBuyLow,0.005533896513318506,0.005533896513318506
btr10_19,-0.005343151411858756,0.005343151411858756
vwad_diff,0.005053321976389334,0.005053321976389334
price_position,-0.004598860225225732,0.004598860225225732
bsize0,-0.0035340589239958795,0.0035340589239958795
addSellHigh,0.00326105327413105,0.00326105327413105
midpx_sma_10,0.002807526253094653,0.002807526253094653
sell_pressure,-0.0019827778156216594,0.0019827778156216594
midpx_sma_20,-0.0015579973807157495,0.0015579973807157495
cxlSellHigh,0.0002644488947443917,0.0002644488947443917
avg_trade_size_sell,-0.0001626745990021081,0.0001626745990021081
